Value_x,Value_y
0,40
1,41.6
2,43.2
3,44.8
4,46.4
5,48
6,49.6
7,51.2
8,52.8
9,54.4
10,56
11,57.6
12,59.2
13,60.8
14,62.4
15,64
16,65.6
17,67.2
18,68.8
19,70.4
20,72
21,73.6
22,75.2
23,76.8
24,78.4
25,80
26,81.6
27,83.2
28,84.8
29,86.4
30,88
31,89.6
32,91.2
33,92.8
34,94.4
35,96
36,97.6
37,99.2
38,100.8
39,102.4
40,104
41,105.6
42,107.2
43,108.8
44,110.4
45,112
46,113.6
47,115.2
48,116.8
49,118.4
50,120
51,121.6
52,123.2
53,124.8
54,126.4
55,128
56,129.6
57,131.2
58,132.8
59,134.4
60,136
61,137.6
62,139.2
63,140.8
64,142.4
65,144
66,145.6
67,147.2
68,148.8
69,150.4
70,152
71,153.6
72,155.2
73,156.8
74,158.4
75,160
76,161.6
77,163.2
78,164.8
79,166.4
80,168
81,169.6
82,171.2
83,172.8
84,174.4
85,176
86,177.6
87,179.2
88,180.8
89,182.4
90,184
91,185.6
92,187.2
93,188.8
94,190.4
95,192
96,193.6
97,195.2
98,196.8
99,198.4
